id,host_id,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,price_clean,host_type,price_tier
18071661,69546956,Vizcaya,Bilbao,43.25582,-2.92613,Entire home/apt,103.0,2,242,2025-09-10,2.35,2,25,33,ESFCTU00004802600029649600000000000000000000EBI003076,103.0,Pequeño (2-3),Economy (€75-120)
18090179,16126315,Vizcaya,Bilbao,43.26423,-2.93517,Entire home/apt,327.0,2,376,2025-09-28,3.71,24,74,47,ESFCTU00004802200031965400000000000000000000EBI002916,327.0,Profesional (10+),Luxury (>€300)
18220148,48671909,Vizcaya,Bilbao,43.25784,-2.92542,Entire home/apt,204.0,1,26,2025-07-04,0.26,7,160,2,HBI-01111,204.0,Mediano (4-10),Upscale (€180-300)
18495760,4589289,Vizcaya,Bilbao,43.267971,-2.926171,Entire home/apt,92.0,2,323,2025-09-19,3.19,1,307,33,ESFCTU00004802600028576600000000000000000000EBI004125,92.0,Individual (1),Economy (€75-120)
18623719,129377761,Vizcaya,Bilbao,43.25819,-2.9258,Entire home/apt,181.0,2,489,2025-09-24,4.84,1,290,60,ESFCTU00004802600035570400000000000000000000EBI004422,181.0,Individual (1),Upscale (€180-300)
18753187,6816067,Vizcaya,Bilbao,43.2657,-2.91981,Entire home/apt,73.0,3,209,2025-08-23,2.09,1,147,27,ESFCTU00004802500009614700000000000000000000EBI003427,73.0,Individual (1),Budget (<€75)
18772859,65042652,Vizcaya,Bilbao,43.25206,-2.92165,Entire home/apt,103.0,7,196,2024-12-09,1.93,7,358,2,ESFCTU00004802600035147800000000000000000000EBI003610,103.0,Mediano (4-10),Economy (€75-120)
18854251,131327114,Vizcaya,Bilbao,43.25075,-2.92179,Private room,35.0,2,462,2025-09-28,4.57,1,45,59,LBI 121,35.0,Individual (1),Budget (<€75)
18876451,131523372,Vizcaya,Bilbao,43.2549,-2.93367,Private room,57.0,2,135,2025-09-22,1.33,2,12,23,,57.0,Pequeño (2-3),Budget (<€75)
19126408,97351910,Vizcaya,Bilbao,43.25719,-2.92738,Entire home/apt,138.0,3,29,2022-06-14,0.29,1,127,0,ESFCTU00004802700049518600000000000000000000EBI001674,138.0,Individual (1),Mid-scale (€120-180)
19158069,127852243,Vizcaya,Bilbao,43.26399,-2.93173,Entire home/apt,263.0,5,246,2025-09-27,2.46,1,237,28,,263.0,Individual (1),Upscale (€180-300)
19281381,134678438,Vizcaya,Bilbao,43.25702,-2.9051,Private room,70.0,1,54,2025-08-15,0.54,1,90,3,,70.0,Individual (1),Budget (<€75)
19281542,134760567,Vizcaya,Bilbao,43.25864,-2.94894,Private room,88.0,1,676,2025-09-22,6.76,1,333,85,ESFCTU00004802200020716600000000000000000000LBI001305,88.0,Individual (1),Economy (€75-120)
